ID,Long,Lat,Country,Island,pop,geometry
48475,20.382853,60.241399,?land,Vardo,271.0,POINT (20.382853 60.241399)
48482,20.799759,60.257265,?land,Kumlinge,179.0,POINT (20.799759 60.257265)
48502,19.603001,60.213955,?land,Eckero,24725.0,POINT (19.603001 60.213955)
48506,22.648394,60.131401,Finland,Kimito,5330.0,POINT (22.648394 60.131401)
48512,21.928653,60.296455,Finland,Aaslaluoto,255.0,POINT (21.928653 60.296455)
48531,22.217728,60.299452,Finland,Alon,8954.0,POINT (22.217728 60.299452)
48534,21.990811,60.322832,Finland,Airismaa,68.0,POINT (21.990811 60.322832)
48601,-0.988086,60.354898,United Kingdom,Holm of Sandwick,1202.0,POINT (-0.988086 60.354898)
48650,19.982487,60.217751,?land,Aland,24725.0,POINT (19.982487 60.217751)
48720,-1.335252,60.234656,United Kingdom,Flotta Island,14450.0,POINT (-1.335252 60.234656)
48778,21.289648,60.532603,Finland,Vartsala,175.0,POINT (21.289648 60.532603)
48794,-0.867556,60.600317,United Kingdom,Fetlar,159.0,POINT (-0.867556 60.600317)
48795,4.82616,60.607304,Norway,Alvoyni,1102.0,POINT (4.82616 60.607304)
48797,-1.429818,60.513782,United Kingdom,Isle of Nibon,14450.0,POINT (-1.429818 60.513782)
48810,-45.914643,60.639675,Greenland,Kangeq,133.0,POINT (-45.914643 60.639675)
48841,-1.09927,60.605492,United Kingdom,Yell,1287.0,POINT (-1.09927 60.605492)
48900,-0.887133,60.758492,United Kingdom,Unst,1443.0,POINT (-0.887133 60.758492)
48944,4.696453,61.035757,Norway,Ytre Sula,117.0,POINT (4.696453 61.035757)
48945,4.777246,61.069716,Norway,Steinsundoy,55.0,POINT (4.777246 61.069716)
49028,-6.831975,61.533782,Faroe Islands,Sudhuroy,4080.0,POINT (-6.831975 61.533782)
49055,-6.77776,61.846964,Faroe Islands,Sandoy,1147.0,POINT (-6.77776 61.846964)
49063,-6.645204,61.983806,Faroe Islands,Nolsoy,381.0,POINT (-6.645204 61.983806)
49072,-7.592829,62.107672,Faroe Islands,Mykines,110.0,POINT (-7.592829 62.107672)
49075,-7.250908,62.094234,Faroe Islands,Vagar,3478.0,POINT (-7.250908 62.094234)
49084,-6.34693,62.271917,Faroe Islands,Svinoy,283.0,POINT (-6.34693 62.271917)
49087,-7.006853,62.139034,Faroe Islands,Streymoy,20690.0,POINT (-7.006853 62.139034)
49088,-6.858421,62.216667,Faroe Islands,Eysturoy,10075.0,POINT (-6.858421 62.216667)
49093,-6.299149,62.337193,Faroe Islands,Fugloy,187.0,POINT (-6.299149 62.337193)
49096,-6.649397,62.308315,Faroe Islands,Kunoy,214.0,POINT (-6.649397 62.308315)
49097,-6.736734,62.297646,Faroe Islands,Kalsoy,334.0,POINT (-6.736734 62.297646)
49098,5.557193,62.353711,Norway,Nerlandsoya,456.0,POINT (5.557193 62.353711)
49103,-6.500417,62.333016,Faroe Islands,Vidhoy,4022.0,POINT (-6.500417 62.333016)
49117,5.996521,62.477148,Norway,Godoya,814.0,POINT (5.996521 62.477148)
49163,6.461348,62.754641,Norway,Haroya,926.0,POINT (6.461348 62.754641)
49196,21.171062,62.973671,Finland,Bergo,1165.0,POINT (21.171062 62.973671)
49268,21.274124,63.229914,Finland,Vallgrund,3744.0,POINT (21.274124 63.229914)
49283,21.336303,63.340662,Finland,Bjorkon,346.0,POINT (21.336303 63.340662)
49286,22.017209,63.364094,Finland,Fjardsbadan,216.0,POINT (22.017209 63.364094)
49299,-20.271378,63.432501,Iceland,Heimaey,3933.0,POINT (-20.271378 63.432501)
49312,8.01753,63.398982,Norway,Smola,1511.0,POINT (8.01753 63.398982)
49337,8.556608,63.576353,Norway,Helgebostadoya,56.0,POINT (8.556608 63.576353)
49351,8.736181,63.541608,Norway,Hitra,3277.0,POINT (8.736181 63.541608)
49353,8.768755,63.649891,Norway,Dolma,3277.0,POINT (8.768755 63.649891)
49354,9.090657,63.641616,Norway,Fjellvaeroya,230.0,POINT (9.090657 63.641616)
49372,20.9137,63.725596,Sweden,Angeson,550.0,POINT (20.9137 63.725596)
49385,8.650173,63.718974,Norway,Froya,3596.0,POINT (8.650173 63.718974)
49492,-40.382255,64.351787,Greenland,Gerner O,32996.0,POINT (-40.382255 64.351787)
49568,39.971405,64.739669,Russia,Ostrov Kumbysh,115.0,POINT (39.971405 64.739669)
